cycle;plan;pct_stock;stock_moy;alertes;pct_malbouffe;pct_rejet_culture;pct_rejet_budget;evit_hist;nb_malbouffe;nb_equilibre;rejets_culture;rejets_budget
0;1;63;18;1;11;10;63;755;20;148;882;5338
20;2;56;24;1;5;10;68;2125;10;158;882;5790
40;3;54;24;1;10;10;69;2306;17;151;882;5851
60;4;57;24;1;4;10;71;2662;8;160;882;5966
80;5;54;26;1;11;10;71;2647;19;149;882;6037
100;6;57;22;0;1;10;73;2729;3;165;882;6154
120;7;55;21;1;10;10;75;2655;17;151;882;6318
140;8;52;21;0;2;10;75;2614;4;164;882;6372
160;9;58;24;1;9;10;76;2584;16;152;882;6400
180;10;54;24;0;1;10;75;2536;3;165;882;6304
200;11;53;24;1;10;10;75;2760;18;150;882;6373
220;12;58;23;1;5;10;75;2555;10;158;882;6381
240;13;55;25;1;5;10;76;2579;10;158;882;6410
260;14;63;19;1;4;10;76;2616;8;160;882;6442
