cycle;nom_foyer;type;plat_ou_resume;cout;detail;magasin;salle;achat;alertes
0;Foyer Malgache;resume;Romazava;35000.0;stock=12;Epicerie Isotry;;true;0
0;Foyer Europeen;resume;Hen'omby ritra;-7137.5;stock=14;Shoprite Analakely;;true;0
0;Foyer Sans Porc;resume;Kitoza grille;50000.0;stock=9;Epicerie Isotry;;true;0
0;Foyer Vegan;resume;Mofo gasy;30000.0;stock=36;Epicerie Isotry;;true;0
0;Foyer Defaut;resume;Anana sy voatavo;41254.0;stock=17;Shoprite Analakely;;true;0
0;Foyer Malbouffe;resume;Frites mayo;8541.0;stock=17;Epicerie Isotry;Fitness Park Antaninarenina (d=1068);true;1
0;Foyer Etudiant;resume;Ravitoto;20000.0;stock=11;Epicerie Isotry;;true;0
0;Foyer Sportif;resume;Mofo gasy;43892.0;stock=29;Epicerie Isotry;;true;0
20;Foyer Malgache;resume;Anana sy voatavo;35000.0;stock=25;Shoprite Analakely;;true;0
20;Foyer Europeen;resume;Akoho sy voanio;-477.3550000000978;stock=17;Shoprite Analakely;;true;0
20;Foyer Sans Porc;resume;Soupe de legumes;50000.0;stock=21;Epicerie Isotry;;true;0
20;Foyer Vegan;resume;Ravitoto aux champignons;30000.0;stock=47;Epicerie Isotry;;true;0
20;Foyer Defaut;resume;Henakisoa sy voatavo;50000.0;stock=23;Shoprite Analakely;;true;0
20;Foyer Malbouffe;resume;Koba;21262.799999999996;stock=31;Shoprite Analakely;Fitness Park Antaninarenina (d=1068);true;2
20;Foyer Etudiant;resume;Hen'omby ritra;20000.0;stock=13;Shoprite Analakely;;true;0
20;Foyer Sportif;resume;Bouillon de zebu;55000.0;stock=20;SuperU Andraharo;;true;0
40;Foyer Malgache;resume;Akoho ritra;35000.0;stock=31;Shoprite Analakely;;true;0
40;Foyer Europeen;resume;Koba;-2824.1079375001427;stock=26;Shoprite Analakely;;true;0
40;Foyer Sans Porc;resume;Ravitoto aux champignons;50000.0;stock=23;Epicerie Isotry;;true;0
40;Foyer Vegan;resume;Anana sy voatavo;30000.0;stock=23;Epicerie Isotry;;true;0
40;Foyer Defaut;resume;Romazava;50000.0;stock=23;Shoprite Analakely;;true;0
40;Foyer Malbouffe;resume;Tsaramaso;25821.577950000035;stock=28;Epicerie Isotry;Fitness Park Antaninarenina (d=1068);true;3
40;Foyer Etudiant;resume;Poisson grille;20000.0;stock=22;Shoprite Analakely;;true;0
40;Foyer Sportif;resume;Riz legumes sautes;55000.0;stock=23;Shoprite Analakely;;true;0
60;Foyer Malgache;resume;Cereales lait;35000.0;stock=26;Shoprite Analakely;;true;0
60;Foyer Europeen;resume;Romazava;-1620.1280877501558;stock=30;Epicerie Isotry;;true;0
60;Foyer Sans Porc;resume;Ravitoto aux champignons;50000.0;stock=20;Epicerie Isotry;;true;0
60;Foyer Vegan;resume;Tsaramaso;30000.0;stock=17;Epicerie Isotry;;true;0
60;Foyer Defaut;resume;Riz cantonais;50000.0;stock=18;Shoprite Analakely;;true;0
60;Foyer Malbouffe;resume;Anana sy voatavo;39374.4290450625;stock=26;Epicerie Isotry;Fitness Park Antaninarenina (d=1068);true;4
60;Foyer Etudiant;resume;Salade de fruits;20000.0;stock=24;Shoprite Analakely;;true;0
60;Foyer Sportif;resume;Poisson grille;55000.0;stock=35;SuperU Andraharo;;true;0
80;Foyer Malgache;resume;Tsaramaso;35000.0;stock=21;Shoprite Analakely;;true;0
80;Foyer Europeen;resume;Hen'omby ritra;-14876.27150910937;stock=27;Shoprite Analakely;;true;0
80;Foyer Sans Porc;resume;Mofo gasy;50000.0;stock=19;Epicerie Isotry;;true;0
80;Foyer Vegan;resume;Soupe de legumes;30000.0;stock=27;Epicerie Isotry;;true;0
80;Foyer Defaut;resume;Kabaka;50000.0;stock=27;Shoprite Analakely;;true;0
80;Foyer Malbouffe;resume;Saosisy sy oeuf;43247.58211494466;stock=35;Shoprite Analakely;Fitness Park Antaninarenina (d=1068);true;5
80;Foyer Etudiant;resume;Poulet grille legumes;20000.0;stock=27;SuperU Andraharo;;true;0
80;Foyer Sportif;resume;Akoho sy voanio;55000.0;stock=32;Shoprite Analakely;;true;0
100;Foyer Malgache;resume;Ravitoto;35000.0;stock=14;Shoprite Analakely;;true;0
100;Foyer Europeen;resume;Kitoza grille;21762.462554264843;stock=18;Shoprite Analakely;;true;0
100;Foyer Sans Porc;resume;Cereales lait;50000.0;stock=25;Epicerie Isotry;;true;0
100;Foyer Vegan;resume;Lasary voatabia;30000.0;stock=29;Epicerie Isotry;;true;0
100;Foyer Defaut;resume;Hen'omby ritra;50000.0;stock=25;Shoprite Analakely;;true;0
100;Foyer Malbouffe;resume;Nuggets poulet;50840.34673117564;stock=25;SuperU Andraharo;;true;5
100;Foyer Etudiant;resume;Mofo gasy;20000.0;stock=19;Shoprite Analakely;;true;0
100;Foyer Sportif;resume;Kitoza grille;55000.0;stock=27;SuperU Andraharo;;true;0
120;Foyer Malgache;resume;Ravitoto aux champignons;35000.0;stock=20;Epicerie Isotry;;true;0
120;Foyer Europeen;resume;Poulet curry;9175.42629510659;stock=13;Shoprite Analakely;;true;0
120;Foyer Sans Porc;resume;Pasta pesto;50000.0;stock=20;Shoprite Analakely;;true;0
120;Foyer Vegan;resume;Tsaramaso;30000.0;stock=20;Epicerie Isotry;;true;0
120;Foyer Defaut;resume;Cereales lait;50000.0;stock=24;Shoprite Analakely;;true;0
120;Foyer Malbouffe;resume;Saosisy sy oeuf;55560.934039971486;stock=33;Shoprite Analakely;Fitness Park Antaninarenina (d=1068);true;6
120;Foyer Etudiant;resume;Ravitoto aux champignons;20000.0;stock=21;Epicerie Isotry;;true;0
120;Foyer Sportif;resume;Kabaka;55000.0;stock=22;Epicerie Isotry;;true;0
140;Foyer Malgache;resume;Anana sy voatavo;35000.0;stock=27;Shoprite Analakely;;true;0
140;Foyer Europeen;resume;Kitoza grille;36888.60534138937;stock=24;Shoprite Analakely;;true;0
140;Foyer Sans Porc;resume;Vary sosoa;50000.0;stock=19;Epicerie Isotry;;true;0
140;Foyer Vegan;resume;Tsaramaso;30000.0;stock=17;Epicerie Isotry;;true;0
140;Foyer Defaut;resume;Romazava;50000.0;stock=24;Shoprite Analakely;;true;0
140;Foyer Malbouffe;resume;Salade composee;54985.306248113964;stock=27;Epicerie Isotry;;true;6
